,age_range,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?,harass_np,,harass_np_year,haras_np_day,harass_np_place,right_viol,right_viol_year,,right_viol_day,right_viol_place,confidence_level_np,one_word,suggestions
37,15 - 39,Rarely,Nigerian Mobile Police,They are just doing their normal duties. ,Always,Nigerian Mobile Police,I wanted them to help arrest a scammer and they demanded a very huge sum of money in return. I had to let go of the process ,No,,,,,Yes,2021,,Tuesday,Rivers,1,awful ,They should learn to abide by the rules governing policing and stop harassing people
45,15 - 39,Often,Nigerian Mobile Police,They don't disturb us for money anytime we go to school.,Rarely,,,No,,,,,No,,,,,6,unmonitored,
46,15 - 39,Rarely,,,Rarely,,,No,,,,,Yes,2020,,Friday,Lagos,5,,
47,15 - 39,Rarely,,I had ,Rarely,,I had ,No,,,,,No,,,,,3,,They should stop harassing citizens  and taking bribe 
48,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,4,,
49,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,Physical harassment ,Yes,,2020,,Lagos,Yes,2021,,,Lagos,2,,
49,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,Physical harassment ,Yes,,2020,,Lagos,Yes,2020,,,Lagos,2,,
49,15 - 39,Rarely,Nigerian Mobile Police,,Often,Nigerian Mobile Police,Physical harassment ,Yes,,2020,,Lagos,Yes,2019,,,Lagos,2,,
50,15 - 39,Rarely,,,Often,Nigerian Mobile Police,,No,,,,,Yes,2018,,Wednesday,Lagos,2,Unimpressive ,They should stop harassing citizens and carry out their duties effectively 
51,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,Sold a goods without issuing a proper invoice,No,,,,,No,,,,,4,Uninteresting,They have to make the decision to change first. Anything I suggest here won't work. 
51,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,National Security Organization,Sold a goods without issuing a proper invoice,No,,,,,No,,,,,4,Uninteresting,They have to make the decision to change first. Anything I suggest here won't work. 
52,15 - 39,Rarely,Nigerian Mobile Police,Not bad,Rarely,Nigerian Mobile Police,Harassment ,Yes,,2021,Friday,Osun,No,,,,,6,Not bad,They need more orientation 
53,15 - 39,Rarely,Nigerian police,,Rarely,Nigerian police,They arrested my dad for fake money ,No,,,,,Yes,2021,,Wednesday,Lagos,3,,
54,15 - 39,Often,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,Yes,,2021,Friday,Lagos,Yes,2021,,Wednesday,Lagos,4,Hungry,
55,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,4,,"1) create state policing such that every state controls its police and leave the NIA and others at the federal.
2)Increase the strength of the police by employing more and paying them well
3) introduce tech to aid police investigation also all police should have body camera"
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2021,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Friday,Oyo,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2018,,Friday,Oyo,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2017,,Friday,Lagos,1,They are terrible,Reform them all
56,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2016,,Friday,Oyo,1, terrible,Reform them all
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2021,Wednesday,Lagos,Yes,2021,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2020,Wednesday,Lagos,Yes,2020,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2019,Wednesday,Lagos,Yes,2019,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
57,15 - 39,Often,Nigerian Mobile Police,,Often,National Security Organization,Harassment,Yes,,2017,Wednesday,Lagos,Yes,2019,,Thursday,Lagos,1,Dissapointed,Evaluation for all police officers before being sent on field
58,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Monday,Lagos,2,,
58,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Monday,Ogun,2,,
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2021,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2020,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
59,15 - 39,Rarely,Nigerian Mobile Police,,Rarely,Nigerian Mobile Police,,No,,,,,Yes,2019,,Thursday,Lagos,3,,Their rate of harrasment for the drivers should reduce
